"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
600 4.5 5 208 1 NA NA FALSE ""
1000 3.5 0.4 333 2 NA NA FALSE ""
600 3.5 5 2 3 NA NA FALSE ""
600 2 5 249 4 NA NA FALSE ""
1000 3.5 0.4 644 5 NA NA FALSE ""
1000 3.5 5 423 6 NA NA FALSE ""
200 4.5 5 290 7 NA NA FALSE ""
1000 4.5 0.4 661 8 NA NA FALSE ""
1000 2 0.4 835 9 NA NA FALSE ""
200 3.5 0.4 771 10 NA NA FALSE ""
600 4.5 0.4 13 11 NA NA FALSE ""
600 3.5 5 614 12 NA NA FALSE ""
200 2 0.4 116 13 NA NA FALSE ""
600 2 0.4 599 14 NA NA FALSE ""
1000 4.5 0.4 983 15 NA NA FALSE ""
1000 4.5 5 421 16 NA NA FALSE ""
1000 4.5 0.4 436 17 NA NA FALSE ""
1400 3.5 5 448 18 NA NA FALSE ""
200 2 0.4 749 19 NA NA FALSE ""
1000 4.5 0.4 420 20 NA NA FALSE ""
200 3.5 5 646 21 NA NA FALSE ""
1000 4.5 0.4 247 22 NA NA FALSE ""
600 4.5 5 596 23 NA NA FALSE ""
1400 3.5 5 558 24 NA NA FALSE ""
1400 2 0.4 18 25 NA NA FALSE ""
200 4.5 5 58 26 NA NA FALSE ""
1400 2 5 145 27 NA NA FALSE ""
600 3.5 5 679 28 NA NA FALSE ""
600 4.5 5 607 29 NA NA FALSE ""
1400 3.5 0.4 533 30 NA NA FALSE ""
1400 2 5 141 31 NA NA FALSE ""
1400 4.5 5 820 32 NA NA FALSE ""
200 3.5 0.4 464 33 NA NA FALSE ""
200 4.5 0.4 226 34 NA NA FALSE ""
1000 3.5 0.4 516 35 NA NA FALSE ""
1000 2 5 841 36 NA NA FALSE ""
1400 4.5 0.4 631 37 NA NA FALSE ""
600 4.5 0.4 733 38 NA NA FALSE ""
1400 4.5 5 855 39 NA NA FALSE ""
600 4.5 0.4 319 40 NA NA FALSE ""
200 2 0.4 632 41 NA NA FALSE ""
600 3.5 0.4 886 42 NA NA FALSE ""
600 4.5 0.4 889 43 NA NA FALSE ""
600 4.5 0.4 103 44 NA NA FALSE ""
1000 3.5 5 955 45 NA NA FALSE ""
1400 2 5 50 46 NA NA FALSE ""
1400 3.5 0.4 261 47 NA NA FALSE ""
1400 3.5 5 902 48 NA NA FALSE ""
200 3.5 5 394 49 NA NA FALSE ""
1000 4.5 5 483 50 NA NA FALSE ""
600 3.5 5 802 51 NA NA FALSE ""
1400 2 0.4 529 52 NA NA FALSE ""
1000 2 5 416 53 NA NA FALSE ""
1000 3.5 5 497 54 NA NA FALSE ""
1000 4.5 5 820 55 NA NA FALSE ""
1400 2 0.4 426 56 NA NA FALSE ""
1400 2 0.4 544 57 NA NA FALSE ""
600 2 0.4 132 58 NA NA FALSE ""
1000 2 0.4 188 59 NA NA FALSE ""
1000 2 5 424 60 NA NA FALSE ""
1000 3.5 0.4 853 61 NA NA FALSE ""
1000 2 0.4 573 62 NA NA FALSE ""
1000 2 5 529 63 NA NA FALSE ""
200 4.5 5 394 64 NA NA FALSE ""
600 3.5 5 521 65 NA NA FALSE ""
600 4.5 5 699 66 NA NA FALSE ""
600 4.5 0.4 956 67 NA NA FALSE ""
200 3.5 5 76 68 NA NA FALSE ""
200 3.5 0.4 529 69 NA NA FALSE ""
1000 2 5 717 70 NA NA FALSE ""
1400 3.5 0.4 56 71 NA NA FALSE ""
200 4.5 5 455 72 NA NA FALSE ""
600 3.5 0.4 597 73 NA NA FALSE ""
1000 4.5 0.4 931 74 NA NA FALSE ""
1400 3.5 0.4 994 75 NA NA FALSE ""
600 4.5 0.4 866 76 NA NA FALSE ""
600 4.5 0.4 623 77 NA NA FALSE ""
200 2 0.4 387 78 NA NA FALSE ""
1400 2 0.4 984 79 NA NA FALSE ""
1000 2 5 660 80 NA NA FALSE ""
1400 3.5 5 920 81 NA NA FALSE ""
1400 4.5 0.4 565 82 NA NA FALSE ""
600 3.5 5 930 83 NA NA FALSE ""
1400 4.5 5 569 84 NA NA FALSE ""
200 4.5 5 473 85 NA NA FALSE ""
1000 2 0.4 257 86 NA NA FALSE ""
1000 3.5 5 417 87 NA NA FALSE ""
1000 4.5 0.4 87 88 NA NA FALSE ""
1000 3.5 5 580 89 NA NA FALSE ""
1400 2 0.4 888 90 NA NA FALSE ""
600 3.5 5 151 91 NA NA FALSE ""
1400 3.5 5 483 92 NA NA FALSE ""
200 2 5 520 93 NA NA FALSE ""
1000 4.5 0.4 679 94 NA NA FALSE ""
200 2 5 33 95 NA NA FALSE ""
200 2 5 676 96 NA NA FALSE ""
600 2 0.4 956 97 NA NA FALSE ""
1000 2 0.4 839 98 NA NA FALSE ""
1000 4.5 0.4 900 99 NA NA FALSE ""
200 3.5 5 831 100 NA NA FALSE ""
600 4.5 0.4 546 101 NA NA FALSE ""
1400 2 5 593 102 NA NA FALSE ""
600 2 0.4 679 103 NA NA FALSE ""
1400 2 5 85 104 NA NA FALSE ""
1000 2 5 903 105 NA NA FALSE ""
1400 2 5 372 106 NA NA FALSE ""
1400 4.5 0.4 419 107 NA NA FALSE ""
600 4.5 0.4 896 108 NA NA FALSE ""
1400 3.5 0.4 500 109 NA NA FALSE ""
1000 2 0.4 200 110 NA NA FALSE ""
1000 3.5 5 603 111 NA NA FALSE ""
1000 4.5 0.4 795 112 NA NA FALSE ""
600 4.5 0.4 586 113 NA NA FALSE ""
200 2 0.4 860 114 NA NA FALSE ""
600 4.5 5 392 115 NA NA FALSE ""
200 4.5 0.4 532 116 NA NA FALSE ""
1400 2 5 493 117 NA NA FALSE ""
200 2 5 188 118 NA NA FALSE ""
1000 3.5 0.4 485 119 NA NA FALSE ""
1400 4.5 5 597 120 NA NA FALSE ""
600 2 5 74 121 NA NA FALSE ""
200 3.5 0.4 51 122 NA NA FALSE ""
600 2 5 978 123 NA NA FALSE ""
200 2 5 471 124 NA NA FALSE ""
200 3.5 5 332 125 NA NA FALSE ""
1000 4.5 5 680 126 NA NA FALSE ""
1400 3.5 5 347 127 NA NA FALSE ""
200 4.5 5 260 128 NA NA FALSE ""
200 4.5 0.4 434 129 NA NA FALSE ""
1400 3.5 5 286 130 NA NA FALSE ""
1000 2 5 507 131 NA NA FALSE ""
600 3.5 0.4 744 132 NA NA FALSE ""
1400 2 0.4 476 133 NA NA FALSE ""
200 2 5 691 134 NA NA FALSE ""
200 3.5 0.4 355 135 NA NA FALSE ""
600 4.5 0.4 50 136 NA NA FALSE ""
1400 4.5 0.4 69 137 NA NA FALSE ""
200 2 0.4 455 138 NA NA FALSE ""
1000 2 0.4 154 139 NA NA FALSE ""
200 3.5 0.4 669 140 NA NA FALSE ""
1400 3.5 0.4 743 141 NA NA FALSE ""
200 4.5 5 307 142 NA NA FALSE ""
600 3.5 5 517 143 NA NA FALSE ""
1400 4.5 5 166 144 NA NA FALSE ""
600 3.5 5 377 145 NA NA FALSE ""
1400 3.5 0.4 242 146 NA NA FALSE ""
200 3.5 0.4 928 147 NA NA FALSE ""
1000 4.5 0.4 248 148 NA NA FALSE ""
600 4.5 0.4 970 149 NA NA FALSE ""
1000 2 0.4 153 150 NA NA FALSE ""
600 3.5 0.4 243 151 NA NA FALSE ""
1000 2 5 835 152 NA NA FALSE ""
600 2 0.4 825 153 NA NA FALSE ""
1000 3.5 5 699 154 NA NA FALSE ""
600 4.5 5 574 155 NA NA FALSE ""
1400 2 0.4 98 156 NA NA FALSE ""
1000 2 5 471 157 NA NA FALSE ""
600 2 5 515 158 NA NA FALSE ""
200 2 0.4 32 159 NA NA FALSE ""
1400 3.5 5 634 160 NA NA FALSE ""
600 4.5 5 653 161 NA NA FALSE ""
600 2 5 259 162 NA NA FALSE ""
1000 2 0.4 16 163 NA NA FALSE ""
200 4.5 5 908 164 NA NA FALSE ""
600 2 0.4 747 165 NA NA FALSE ""
600 3.5 5 723 166 NA NA FALSE ""
