"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
800 10 1.7 287 90 10.4921974061955 1.74579808299584 FALSE ""
1000 10 1.7 650 91 11.0474760838115 1.75208778453841 FALSE ""
200 30 1.05 480 92 49.626238306892 1.07518138625701 FALSE ""
800 10 1.7 420 93 11.2266560640812 1.74629060246914 FALSE ""
800 30 1.7 284 94 29.2889331709699 1.69452420919799 FALSE ""
600 20 1.05 254 95 33.7164879410177 1.07919966731373 FALSE ""
200 20 1.7 838 96 17.2357984934861 1.64221860962713 FALSE ""
800 20 1.7 340 97 20.6090765000334 1.72273934169389 FALSE ""
600 10 1.05 842 98 17.371641370408 1.08226292939487 FALSE ""
200 30 1.05 944 99 52.9176080185875 1.08192003749519 FALSE ""
1000 30 1.05 100 100 44.7156972735419 1.07004645215111 FALSE ""
600 30 1.05 374 101 51.1561251242225 1.07994852000221 FALSE ""
600 10 1.7 132 102 8.45718686344009 1.66548768605674 FALSE ""
800 30 1.7 484 103 29.8067483773338 1.70663046314478 FALSE ""
200 10 1.7 693 104 12.5701112280084 1.80003003622391 FALSE ""
400 10 1.7 37 105 11.0982128839299 1.78656407037592 FALSE ""
1000 20 1.7 306 106 21.2080130674589 1.71491262471285 FALSE ""
800 30 1.05 260 107 50.4783146790397 1.07955848907191 FALSE ""
1000 30 1.7 931 108 29.0637608502403 1.69150151947953 FALSE ""
1000 10 1.7 284 109 10.9301065983265 1.70925375750858 FALSE ""
400 30 1.05 716 110 49.8618160052379 1.07830462009685 FALSE ""
400 20 1.05 971 111 41.8124224925949 1.09546815876305 FALSE ""
600 20 1.7 115 112 20.150375308186 1.66679838815831 FALSE ""
800 30 1.05 273 113 45.202184047855 1.07005868800129 FALSE ""
800 20 1.05 841 114 34.083789005972 1.0782931056789 FALSE ""
200 10 1.7 49 115 7.91666708697563 1.66363252404203 FALSE ""
400 10 1.7 448 116 10.5160718887017 1.72143754264936 FALSE ""
400 10 1.05 615 117 15.8806400081806 1.0758835235724 FALSE ""
400 10 1.05 553 118 16.9829899836487 1.07836319010914 FALSE ""
600 30 1.7 77 119 27.1758389124711 1.65204811294631 FALSE ""
800 10 1.05 509 120 17.1645885475066 1.0812155052584 FALSE ""
200 10 1.05 683 121 16.4975862850585 1.07587503564883 FALSE ""
800 10 1.7 943 122 10.8717434200287 1.73438646442473 FALSE ""
400 30 1.05 477 123 50.9097408007501 1.08039192479796 FALSE ""
1000 20 1.05 396 124 33.1249840251268 1.0780676220211 FALSE ""
1000 20 1.05 196 125 33.1027742252738 1.0790953673436 FALSE ""
1000 10 1.7 873 126 11.6061469795766 1.73946466693737 FALSE ""
400 30 1.7 702 127 28.8493280408548 1.65381758671563 FALSE ""
400 10 1.7 188 128 10.5155955404183 1.67248468517518 FALSE ""
800 10 1.7 26 129 9.69166420547223 1.71549170602095 FALSE ""
200 10 1.7 190 130 10.8047474085205 1.71650383161316 FALSE ""
800 10 1.05 578 131 17.2563830645474 1.0796359736569 FALSE ""
1000 10 1.7 972 132 9.4466738503014 1.68639231213423 FALSE ""
800 10 1.7 967 133 10.8928462281411 1.71035036953434 FALSE ""
1000 30 1.05 828 134 51.0245343220419 1.0783552077282 FALSE ""
800 30 1.7 568 135 28.4877846539949 1.6970559200654 FALSE ""
200 10 1.05 353 136 16.2084169426942 1.07808153154843 FALSE ""
1000 30 1.7 329 137 33.7880146287259 1.72376271581166 FALSE ""
400 20 1.05 935 138 35.8832541979263 1.08389076025778 FALSE ""
400 30 1.7 101 139 29.7689735915578 1.71673641311203 FALSE ""
1000 20 1.05 169 140 33.5336584216265 1.07837685835491 FALSE ""
200 30 1.05 124 141 48.6248513083967 1.07926810841203 FALSE ""
800 10 1.05 643 142 24.2479809377719 1.10458218043704 FALSE ""
400 10 1.05 573 143 15.5523977322795 1.0762395789762 FALSE ""
400 20 1.7 684 144 23.2387194997511 1.75020080343029 FALSE ""
800 10 1.05 132 145 17.5856261287424 1.08130437692594 FALSE ""
400 10 1.7 600 146 9.07463779836102 1.68396467261385 FALSE ""
200 20 1.05 636 147 33.5559740066155 1.07634054629849 FALSE ""
1000 20 1.7 427 148 19.8097326527385 1.73103450900733 FALSE ""
200 10 1.05 726 149 17.1057290708768 1.08097233795881 FALSE ""
200 20 1.7 610 150 24.635025448767 1.71858860259796 FALSE ""
1000 30 1.05 974 151 46.9694063485527 1.07237090398491 FALSE ""
400 10 1.05 271 152 16.2880428100736 1.07599493556242 FALSE ""
600 10 1.7 516 153 11.1287156991723 1.74884949474064 FALSE ""
1000 20 1.05 232 154 33.1223223683315 1.0785555722979 FALSE ""
600 30 1.7 267 155 27.3307741773798 1.64245758593487 FALSE ""
600 20 1.7 185 156 20.0583215792342 1.69275163606072 FALSE ""
800 20 1.7 512 157 17.7662690048619 1.69090592581643 FALSE ""
600 30 1.05 114 158 50.3645239373652 1.08058763481385 FALSE ""
200 10 1.05 420 159 15.1015154695483 1.07349306228326 FALSE ""
400 30 1.7 650 160 35.7668200116041 1.74039622351283 FALSE ""
800 30 1.05 374 161 48.8997501381773 1.07661394837258 FALSE ""
200 10 1.05 11 162 14.6280768051462 1.07234681939352 FALSE ""
1000 30 1.7 493 163 31.1651645828618 1.69741446042106 FALSE ""
