"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
400 1 1 103 1 0.978849243764593 0.994181947273219 FALSE ""
1000 3 1 919 2 2.94658867270031 0.991647538073569 FALSE ""
800 1 1 158 3 1.00704339891795 1.02667266009022 FALSE ""
800 1 1 824 4 0.992935407875173 0.980915706240247 FALSE ""
600 3 1 153 5 2.9924715178242 1.01530220227862 FALSE ""
400 3 0.1 733 6 3.01723045504545 0.0975287742821597 FALSE ""
1000 3 1 991 7 3.16559678255792 1.01310186043766 FALSE ""
800 1 1 826 8 0.947686316787954 1.02294862052313 FALSE ""
600 3 1 283 9 3.11516695603121 1.01117423250556 FALSE ""
800 2 0.1 918 10 2.00234526733609 0.103036400838395 FALSE ""
1000 1 0.1 825 11 1.00189913897135 0.101857058841213 FALSE ""
800 1 0.1 299 12 1.00560232815818 0.09681913912033 FALSE ""
1000 1 1 731 13 0.987253007482592 1.02079754556346 FALSE ""
600 3 1 882 14 3.06682855635455 1.03439544386793 FALSE ""
1000 1 0.1 532 15 1.00033297583564 0.0998913300236709 FALSE ""
200 3 1 231 16 2.9428011112073 0.995609232291573 FALSE ""
800 1 1 40 17 1.02449796877286 0.986154667189419 FALSE ""
800 1 1 898 18 0.968834180864555 1.00423783570253 FALSE ""
400 3 0.1 162 19 3.01581494916471 0.0949149812167232 FALSE ""
1000 3 0.1 980 20 2.98138310169846 0.100153452450706 FALSE ""
1000 2 0.1 545 21 1.99109679975014 0.100049114890555 FALSE ""
800 2 1 214 22 1.96499002790249 0.983875514976514 FALSE ""
200 2 0.1 155 23 2.00632446770549 0.10048752632811 FALSE ""
800 2 1 389 24 1.85494743047513 0.945498064677466 FALSE ""
400 3 1 98 25 3.25205933105147 1.03990378607748 FALSE ""
200 2 1 788 26 2.25556618125386 1.12585586035412 FALSE ""
400 3 0.1 237 27 2.97284458882925 0.0990524300801613 FALSE ""
800 3 1 171 28 2.91051806576273 0.989786540827106 FALSE ""
600 1 0.1 943 29 1.00130768875347 0.099136756036795 FALSE ""
800 2 1 294 30 1.99546133317366 1.02165282712421 FALSE ""
600 3 0.1 843 31 2.99405398931427 0.102100147435859 FALSE ""
200 3 0.1 954 32 2.98210594109152 0.107159138046866 FALSE ""
600 2 1 825 33 1.91467628008288 0.98176304310006 FALSE ""
800 3 0.1 33 34 2.97703398066525 0.0991946763629419 FALSE ""
1000 1 1 269 35 0.997613164826694 0.988350051457034 FALSE ""
200 3 0.1 753 36 3.03201297510441 0.108483915823653 FALSE ""
400 2 0.1 788 37 2.00817996925809 0.104095600242057 FALSE ""
200 1 1 947 38 0.952139082175293 0.950493381923999 FALSE ""
200 1 0.1 426 39 1.00575736535347 0.098958966667339 FALSE ""
200 3 0.1 482 40 2.9750357744079 0.10391058909579 FALSE ""
200 2 0.1 932 41 2.01654014862289 0.0923026976182433 FALSE ""
800 2 0.1 3 42 2.00003884830446 0.0980611346935861 FALSE ""
1000 3 1 236 43 3.01549294692051 1.02806600033497 FALSE ""
1000 3 0.1 251 44 3.00032573036156 0.100907083517298 FALSE ""
600 3 0.1 730 45 3.01086015101177 0.0994680296045826 FALSE ""
600 3 0.1 504 46 3.000986410071 0.0978939973297386 FALSE ""
600 3 1 404 47 2.82959979124168 0.959195699630134 FALSE ""
200 2 1 602 48 1.93553996375513 1.00645385604688 FALSE ""
200 3 1 497 49 2.89369542570358 0.98788308520506 FALSE ""
800 3 1 687 50 3.02050649353103 1.02846392106971 FALSE ""
400 3 1 254 51 3.01997558154588 1.02000942753545 FALSE ""
600 1 0.1 126 52 1.00149830542167 0.0971805183607371 FALSE ""
800 2 1 686 53 2.00171775453803 0.999749062548343 FALSE ""
200 3 0.1 626 54 2.97982216607381 0.105790122904726 FALSE ""
200 1 0.1 109 55 0.996392675538535 0.0992985144461109 FALSE ""
1000 3 0.1 681 56 3.00192900362419 0.0971467462820851 FALSE ""
800 2 0.1 526 57 1.99797678856854 0.0999862324316798 FALSE ""
800 3 0.1 747 58 3.00426486661664 0.100897238827584 FALSE ""
600 1 1 589 59 1.01454439358976 0.99483752595396 FALSE ""
200 3 0.1 599 60 2.97957918193248 0.0981355317614992 FALSE ""
800 1 0.1 219 61 0.997282054109856 0.100428815374424 FALSE ""
200 2 1 11 62 2.09690258164169 1.06188391478361 FALSE ""
400 3 1 887 63 3.05793477436735 0.961126719543529 FALSE ""
800 2 0.1 513 64 2.00804938910925 0.098993751789785 FALSE ""
600 1 0.1 109 65 0.991339193148949 0.0974248559211842 FALSE ""
200 3 0.1 812 66 3.04710411469367 0.101752038780966 FALSE ""
600 1 0.1 199 67 1.00131923280711 0.097567072459262 FALSE ""
600 3 1 359 68 3.26956824941149 1.04565322979432 FALSE ""
800 2 0.1 893 69 1.99921536784416 0.103668344242658 FALSE ""
400 2 1 951 70 1.97186881524281 1.00809201039797 FALSE ""
800 2 1 677 71 1.95815344861639 0.981104421512346 FALSE ""
800 2 0.1 707 72 1.99715032398517 0.0989043299115049 FALSE ""
800 1 0.1 644 73 1.00354803152959 0.10128994098561 FALSE ""
800 1 0.1 437 74 0.996491262531378 0.100338048203393 FALSE ""
800 1 0.1 674 75 1.00400645643159 0.101128173324545 FALSE ""
600 1 1 851 76 1.03610730156397 0.929828881257853 FALSE ""
400 3 0.1 839 77 2.9943141506391 0.0976070815283612 FALSE ""
1000 2 0.1 339 78 1.99442683835996 0.100144924853205 FALSE ""
200 3 1 153 79 2.62580983671908 0.960806048641284 FALSE ""
200 1 0.1 81 80 0.993552949410547 0.104376066379061 FALSE ""
800 3 1 809 81 2.94562398940701 1.01075127309535 FALSE ""
600 3 0.1 530 82 3.01388852786201 0.105662042191412 FALSE ""
800 1 0.1 562 83 1.00329830795346 0.103006288629316 FALSE ""
400 1 0.1 46 84 1.00658516267642 0.103035372701282 FALSE ""
400 1 0.1 490 85 1.00270795920386 0.103996519276688 FALSE ""
1000 1 1 997 86 1.00925255080615 0.9953581066993 FALSE ""
1000 3 1 57 87 3.1368536040249 1.0020284837669 FALSE ""
200 3 1 890 88 2.76740864130255 0.930430600848022 FALSE ""
200 2 0.1 660 89 2.02272200781951 0.106100622812041 FALSE ""
1000 3 1 131 90 2.86405795627114 0.990787162238007 FALSE ""
400 1 1 9 91 1.03034579374898 1.0090784734674 FALSE ""
1000 1 1 571 92 1.02333902136669 1.00924634858153 FALSE ""
1000 1 0.1 610 93 1.00349137477357 0.101916894664258 FALSE ""
1000 2 1 503 94 2.09103098201011 0.975501745665873 FALSE ""
1000 1 1 756 95 1.00379362417713 0.978869579290304 FALSE ""
1000 2 0.1 653 96 1.99636330900552 0.101223651050852 FALSE ""
800 2 0.1 631 97 2.01149260307331 0.09889993100667 FALSE ""
200 3 0.1 4 98 2.98237792512803 0.104748072560427 FALSE ""
400 2 1 725 99 1.98164412425564 0.965777166597287 FALSE ""
800 1 0.1 292 100 0.997103999245881 0.0978780410076716 FALSE ""
1000 3 0.1 658 101 2.99751044359555 0.0993865273648274 FALSE ""
800 2 0.1 320 102 2.00895993104984 0.0990769525574055 FALSE ""
1000 3 0.1 897 103 2.99828533433239 0.0968173890714306 FALSE ""
200 2 0.1 510 104 1.99854201749864 0.0987565139581146 FALSE ""
200 3 1 506 105 3.26922354721909 0.953016997984382 FALSE ""
600 1 0.1 97 106 0.996037692615041 0.0969126520483409 FALSE ""
600 1 1 986 107 0.940575046661961 0.962921498697124 FALSE ""
800 3 0.1 123 108 2.98633095440535 0.105485328630725 FALSE ""
800 2 1 134 109 2.12547309924474 1.02093639297186 FALSE ""
