"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
1000 10 1.1 877 1 12.8729972008068 1.12351394988201 FALSE ""
1400 30 1.1 849 2 34.3622934858761 1.11069489560067 FALSE ""
1000 30 1.1 530 3 35.1945204783705 1.11493241783214 FALSE ""
200 10 1.1 779 4 10.5403074569163 1.10144935854954 FALSE ""
600 30 1.1 661 5 35.9383679267481 1.11286323196623 FALSE ""
1400 30 1.5 36 6 29.4834503856022 1.49087381747912 FALSE ""
1000 30 1.5 977 7 32.2109236682359 1.51671044282603 FALSE ""
1000 30 1.5 127 8 31.7832407737101 1.51333327926872 FALSE ""
1000 10 1.1 819 9 11.2933788957916 1.10967221247759 FALSE ""
600 10 1.1 153 10 11.6200259018699 1.11533232486486 FALSE ""
200 10 1.5 745 11 8.53972764417251 1.46722595103859 FALSE ""
200 10 1.1 727 12 11.9916630124263 1.1131409399728 FALSE ""
200 10 1.1 411 13 13.1758466182482 1.12702615344648 FALSE ""
1000 30 1.1 500 14 35.3317090293397 1.11358925921588 FALSE ""
1000 30 1.5 331 15 33.442243627133 1.52526748526294 FALSE ""
1400 10 1.1 300 16 12.1390257327991 1.1161636423186 FALSE ""
200 10 1.1 831 17 9.01384694520154 1.09165785076775 FALSE ""
1000 30 1.1 611 18 37.5206281066311 1.12062402984879 FALSE ""
200 30 1.1 562 19 32.605919946165 1.1106432211686 FALSE ""
1400 10 1.5 91 20 10.2733925400243 1.50673866744027 FALSE ""
1400 10 1.1 554 21 11.9662897368315 1.11561387394907 FALSE ""
1000 30 1.5 927 22 29.4960139041324 1.4679219227255 FALSE ""
1400 10 1.5 147 23 10.291948777806 1.51429415240973 FALSE ""
1400 30 1.5 1 24 29.3445870428442 1.50560270916584 FALSE ""
600 10 1.5 231 25 11.381666796758 1.51953457100363 FALSE ""
1400 10 1.1 438 26 12.4487385766202 1.12119209246253 FALSE ""
200 10 1.5 182 27 9.53507930122192 1.48259843077429 FALSE ""
1400 10 1.5 442 28 9.98467719905386 1.50480433351918 FALSE ""
600 10 1.5 114 29 9.0567156565664 1.48566155967164 FALSE ""
1400 30 1.1 877 30 35.1973339915786 1.11349811206029 FALSE ""
1400 10 1.1 435 31 12.9148246866364 1.12038952041617 FALSE ""
1000 10 1.1 21 32 12.6146286915021 1.1224035352154 FALSE ""
200 30 1.5 457 33 37.2373125475329 1.57113097367951 FALSE ""
1000 30 1.1 135 34 43.7217125634432 1.13514499805482 FALSE ""
1000 10 1.5 825 35 9.12437215054294 1.47478856424287 FALSE ""
1000 30 1.1 897 36 39.3325287686173 1.12067166540218 FALSE ""
200 30 1.1 221 37 35.9714195842821 1.11596723379333 FALSE ""
1400 10 1.5 93 38 9.82700917209655 1.49444645580997 FALSE ""
600 10 1.5 422 39 10.1135350997383 1.49616041995408 FALSE ""
1400 30 1.5 167 40 30.6805492908891 1.51842724023046 FALSE ""
600 30 1.1 221 41 39.6217111766918 1.12132853459682 FALSE ""
600 30 1.1 271 42 36.2351436496372 1.11362819979347 FALSE ""
1400 30 1.1 641 43 34.1623680129452 1.11182136720233 FALSE ""
200 10 1.1 708 44 12.3006314118801 1.11553391064668 FALSE ""
200 10 1.5 609 45 10.9921538932873 1.47977605594646 FALSE ""
