"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
600 744 1 0.0401026169952633 0 -0.693147180559945 0 FALSE ""
1000 794 2 -0.0301023515165374 0 -0.693147180559945 0 FALSE ""
600 785 3 -0.0252425600804524 0 -0.693147180559945 0 FALSE ""
1400 337 4 -0.0347552093254071 0 -0.693147180559945 0 FALSE ""
1000 814 5 -0.019688789197855 0 -0.693147180559945 0 FALSE ""
200 588 6 0.0370748694202424 0 -0.693147180559945 0 FALSE ""
1400 439 7 -0.0392771285609796 0 -0.693147180559945 0 FALSE ""
200 416 8 -0.0133182464585418 0 -0.693147180559945 0 FALSE ""
1000 804 9 -0.0417453790166211 0 -0.693147180559945 0 FALSE ""
1000 974 10 -0.0605726343691169 0 -0.693147180559945 0 FALSE ""
200 817 11 -0.100104574302806 0 -0.693147180559945 0 FALSE ""
1000 47 12 -0.068907948621694 0 -0.693147180559945 0 FALSE ""
1400 522 13 -0.00809679844615483 0 -0.693147180559945 0 FALSE ""
1400 56 14 -0.00608058343986995 0 -0.693147180559945 0 FALSE ""
1000 693 15 -0.0279160069509087 0 -0.693147180559945 0 FALSE ""
200 745 16 0.020212213172527 0 -0.693147180559945 0 FALSE ""
1400 956 17 -0.0112058437113266 0 -0.693147180559945 0 FALSE ""
200 957 18 -0.0191034834543224 0 -0.693147180559945 0 FALSE ""
600 748 19 -0.0550649548613938 0 -0.693147180559945 0 FALSE ""
1000 593 20 -0.0187882005935956 0 -0.693147180559945 0 FALSE ""
600 431 21 -0.105198481641895 0 -0.693147180559945 0 FALSE ""
200 11 22 -0.0936134481524346 0 -0.693147180559945 0 FALSE ""
1000 549 23 -0.0151822765877845 0 -0.693147180559945 0 FALSE ""
1400 716 24 -0.0249230833880736 0 -0.693147180559945 0 FALSE ""
1400 123 25 -0.022921348038523 0 -0.693147180559945 0 FALSE ""
1000 207 26 -0.0257105743870267 0 -0.693147180559945 0 FALSE ""
1400 556 27 0.0029261386323896 0 -0.693147180559945 0 FALSE ""
1400 110 28 -0.0360789806602461 0 -0.693147180559945 0 FALSE ""
1400 981 29 -0.038796373602978 0 -0.693147180559945 0 FALSE ""
200 568 30 -0.0662406885709605 0 -0.693147180559945 0 FALSE ""
1000 669 31 -0.00935297072530772 0 -0.693147180559945 0 FALSE ""
600 146 32 -0.0595553563845058 0 -0.693147180559945 0 FALSE ""
600 897 33 -0.0671946771492281 0 -0.693147180559945 0 FALSE ""
1400 448 34 -0.0457180549262458 0 -0.693147180559945 0 FALSE ""
200 686 35 -0.128551149378136 0 -0.693147180559945 0 FALSE ""
1000 567 36 -0.0585903660897088 0 -0.693147180559945 0 FALSE ""
600 402 37 -0.056285225592678 0 -0.693147180559945 0 FALSE ""
1400 989 38 -0.0413102880685488 0 -0.693147180559945 0 FALSE ""
1400 308 39 -0.049560306521546 0 -0.693147180559945 0 FALSE ""
200 997 40 -0.000312998652041443 0 -0.693147180559945 0 FALSE ""
200 305 41 -0.076379919043704 0.668002180723946 -0.266421027834285 0.444776496045322 FALSE ""
1000 633 42 -0.0597140229211605 0 -0.693147180559945 0 FALSE ""
200 601 43 -0.0308610064635664 0 -0.693147180559945 0 FALSE ""
1000 247 44 -0.0168454006441578 0 -0.693147180559945 0 FALSE ""
1000 307 45 -0.062822712313877 0 -0.693147180559945 0 FALSE ""
600 315 46 0.0244584348808219 0 -0.693147180559945 0 FALSE ""
200 886 47 0.0293549129734844 0 -0.693147180559945 0 FALSE ""
1000 298 48 -0.0184369885216308 0 -0.693147180559945 0 FALSE ""
200 701 49 -0.101231284301675 0 -0.693147180559945 0 FALSE ""
1400 341 50 -0.0510870737686004 0 -0.693147180559945 0 FALSE ""
1000 863 51 -0.0735390064585978 0 -0.693147180559945 0 FALSE ""
1000 296 52 -0.0430363159876397 0 -0.693147180559945 0 FALSE ""
1000 971 53 -0.0257479743094759 0 -0.693147180559945 0 FALSE ""
600 984 54 -0.107156597264694 0 -0.693147180559945 0 FALSE ""
600 883 55 0.00571331162219013 0 -0.693147180559945 0 FALSE ""
1400 94 56 -0.0183575907686978 0 -0.693147180559945 0 FALSE ""
1400 626 57 -0.0465714718431186 0 -0.693147180559945 0 FALSE ""
200 480 58 0.0240277898096738 0 -0.693147180559945 0 FALSE ""
600 492 59 -0.062138292406073 0 -0.693147180559945 0 FALSE ""
1000 874 60 -0.01315715493779 0 -0.693147180559945 0 FALSE ""
1000 597 61 -0.0865393778178619 0 -0.693147180559945 0 FALSE ""
600 156 62 -0.0572474258879925 0 -0.693147180559945 0 FALSE ""
1400 669 63 0.0168974617124468 0 -0.693147180559945 0 FALSE ""
600 832 64 0.000130214413152819 0 -0.693147180559945 0 FALSE ""
200 123 65 -0.0265953671962894 0 -0.693147180559945 0 FALSE ""
600 960 66 -0.0282491789011692 0 -0.693147180559945 0 FALSE ""
1000 379 67 -0.0378776906346834 0 -0.693147180559945 0 FALSE ""
600 496 68 -0.0276973730985849 0 -0.693147180559945 0 FALSE ""
200 722 69 -0.00866494337166638 0 -0.693147180559945 0 FALSE ""
1400 295 70 -0.0765701297068701 0 -0.693147180559945 0 FALSE ""
600 972 71 -0.0531136906882045 0 -0.693147180559945 0 FALSE ""
600 276 72 0.00840085153353308 0 -0.693147180559945 0 FALSE ""
600 515 73 -0.0347960992258041 0 -0.693147180559945 0 FALSE ""
